Filename,Time (seconds),Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
mhwgo.mp3,29.90730,0.4851,0.0870,0.1052,0.0328,0.0670,0.0618,0.0649,1.0000,0.0627,0.0040,0.0027,0.1917
mhwgo.mp3,30.09306,0.8533,0.0000,0.1633,0.1238,0.1188,0.0241,0.0748,1.0000,0.0043,0.0690,0.0152,0.1517
mhwgo.mp3,30.27882,1.0000,0.0000,0.8820,0.1720,0.2407,0.0407,0.0874,0.9805,0.0335,0.0000,0.1945,0.2517
mhwgo.mp3,30.46458,0.6480,0.0229,1.0000,0.3519,0.3759,0.0000,0.0780,0.9087,0.1415,0.0236,0.0615,0.5388
mhwgo.mp3,30.65034,0.5069,0.0555,0.7110,0.1127,0.2047,0.0172,0.1107,1.0000,0.0000,0.1386,0.0067,0.1878
mhwgo.mp3,30.83610,0.4047,0.0441,0.2377,0.0748,0.2059,0.0984,0.0346,1.0000,0.0169,0.0960,0.0102,0.1342
mhwgo.mp3,31.02186,0.3505,0.0411,0.2209,0.0446,0.0824,0.0397,0.0440,1.0000,0.0002,0.0014,0.0082,0.1841
mhwgo.mp3,31.20762,0.0034,0.0273,1.0000,0.0819,0.1392,0.0032,0.0376,0.3978,0.0236,0.0772,0.1756,0.1280
mhwgo.mp3,31.39338,0.0230,0.0169,1.0000,0.0891,0.1481,0.0125,0.0053,0.4849,0.1607,0.1350,0.0722,0.1084
mhwgo.mp3,31.57914,0.0203,0.0667,1.0000,0.1160,0.0524,0.0000,0.0595,0.3036,0.0007,0.7025,0.1421,0.0340
mhwgo.mp3,31.76490,0.0111,0.0612,0.9996,0.0175,0.2083,0.1315,0.0959,0.3112,0.1513,1.0000,0.1143,0.1861
mhwgo.mp3,31.95066,0.0862,0.0171,1.0000,0.1525,0.1876,0.0994,0.0771,0.8362,0.0364,0.9024,0.0532,0.1982
mhwgo.mp3,32.13642,0.1337,0.0168,0.5016,0.2913,0.0093,0.1199,0.0465,0.5358,0.1253,1.0000,0.0126,0.0866
mhwgo.mp3,32.32218,0.0398,0.0939,0.7156,0.0264,0.0863,0.3063,0.1801,0.1800,0.2894,1.0000,0.0225,0.1243
mhwgo.mp3,32.50794,0.0544,0.0712,0.8327,0.1749,0.2200,0.1006,0.0415,0.6730,0.1243,1.0000,0.0160,0.2361
